GOING_OUT,GENDER,AGE,COUNTRY,STATE,FULL_SIZED_CANDY_BAR,BUTTERFINGER,CANDY_CORN,CHICLETS,DOTS,FUZZY_PEACHES,GOOD_N_PLENTY,GUMMY_BEARS,HEALTHY_FRUIT,HEATH_BAR,HERSHEYS_DARK,HERSHEYS_MILK,HERSHEYS_KISSES,JOLLY_RANCHER,JUNIOR_MINTS,KITKAT,LAFFYTAFFY,LEMONHEADS,LICORICE,BLACK_LICORICE,LOLLIPOPS,MIKE_AND_IKE,MILK_DUDS,MILKYWAY,MNMS,PEANUT_MNMS,MINT_KISSES,MR_GOODBAR,NERDS,NESTLE_CRUNCH,PEEPS,PIXY_STIX,REESES_PB_CUPS,REESES_PIECES,ROLOS,SKITTLES,SNICKERS,SOURPATCH_KIDS,STARBURST,SWEDISH_FISH,TIC_TACS,THREE_MUSKETEERS,TOBLERONE,TRAIL_MIX,TWIX,WHATCHAMACALLIT_BARS,YORK_PEPPERMINT_PATTIES
No,Male,48,United States,CO,JOY,MEH,DESPAIR,MEH,MEH,MEH,DESPAIR,MEH,MEH,MEH,JOY,JOY,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,JOY,DESPAIR,MEH,MEH,MEH,MEH,JOY,MEH,JOY,JOY,MEH
Yes,Male,33,Canada,Alberta,JOY,JOY,MEH,MEH,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,DESPAIR,MEH,MEH,JOY,JOY,JOY,MEH,MEH,JOY,MEH,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,MEH,MEH,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,MEH
No,Female,49,United States,RI,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,JOY,MEH,MEH,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,JOY,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,MEH,JOY,MEH,JOY,MEH,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,MEH,DESPAIR
No,Male,35,United States,Michigan,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,MEH,JOY,JOY,MEH,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY
Yes,Male,38,United States,Florida,JOY,JOY,MEH,MEH,DESPAIR,MEH,MEH,MEH,JOY,JOY,MEH,JOY,MEH,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,JOY,DESPAIR,JOY,MEH,MEH
No,Male,58,United States,New Jersey,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,DESPAIR,MEH,DESPAIR
No,Male,35,United States,Colorado,JOY,JOY,MEH,MEH,MEH,MEH,JOY,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY
Yes,Male,50,United States,"""Los Angeles, California""",JOY,JOY,JOY,MEH,MEH,MEH,MEH,MEH,JOY,JOY,JOY,MEH,JOY,MEH,JOY,JOY,MEH,JOY,MEH,JOY,MEH,DESPAIR,JOY,JOY,JOY,MEH,MEH,JOY,JOY,JOY,DESPAIR,MEH,JOY,MEH,JOY,MEH,JOY,MEH,MEH,MEH,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY
No,Female,33,United States,Michigan,JOY,JOY,MEH,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY
No,Male,47,United States,CA,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,JOY,MEH,MEH,JOY,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,MEH,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY
No,Male,52,United States,"""Chicago, Illinois""",JOY,JOY,MEH,DESPAIR,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,MEH,MEH,JOY,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,MEH,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,MEH,MEH,JOY,JOY
No,Male,63,United States,Wisconsin,JOY,JOY,MEH,MEH,JOY,DESPAIR,JOY,DESPAIR,,JOY,JOY,JOY,MEH,MEH,JOY,JOY,JOY,MEH,MEH,JOY,MEH,JOY,JOY,JOY,JOY,JOY,MEH,JOY,MEH,JOY,MEH,DESPAIR,JOY,JOY,JOY,MEH,JOY,DESPAIR,MEH,MEH,MEH,JOY,JOY,MEH,JOY,JOY,JOY
No,Male,52,United Kingdom,London,JOY,JOY,MEH,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,MEH,DESPAIR,MEH,JOY,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,MEH,MEH,MEH,JOY,JOY,JOY,DESPAIR,JOY,MEH,JOY,MEH,MEH,JOY,MEH,JOY,DESPAIR,JOY,JOY,MEH,MEH,DESPAIR,JOY,MEH,JOY,JOY,MEH,DESPAIR
No,Male,41,United States,TEXAS,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,JOY,DESPAIR,JOY,MEH,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY
No,Male,47,United States,Texas,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,JOY
No,Male,44,United States,District of Columbia,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,MEH,DESPAIR,MEH,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,JOY,MEH,JOY,MEH,JOY,MEH,MEH,JOY,JOY,MEH,JOY,JOY,JOY
No,Male,49,United States,Washington,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,MEH,JOY,MEH,JOY,JOY,JOY,MEH,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,MEH,MEH,
,Male,31,United States,Massachusetts ,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,MEH,DESPAIR,MEH,JOY,MEH,JOY,MEH,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY
No,Female,50,United States,Illinois,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY
No,Male,34,United States,New York,JOY,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,JOY,MEH,MEH,JOY,JOY,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,JOY,JOY,MEH,MEH,MEH,JOY,MEH,DESPAIR,JOY,JOY,MEH,MEH,JOY,JOY,MEH,MEH,MEH,JOY,JOY,DESPAIR,JOY,JOY,MEH
No,Male,61,United States,massachusetts,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR
No,Female,44,Canada,Alberta,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,JOY,MEH,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,MEH,JOY,MEH,MEH,JOY,MEH,MEH,JOY,JOY,JOY,MEH,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,MEH,MEH,JOY
No,Male,54,United States,TX,JOY,DESPAIR,JOY,MEH,JOY,MEH,MEH,MEH,MEH,MEH,JOY,JOY,JOY,MEH,MEH,JOY,MEH,JOY,MEH,JOY,MEH,JOY,JOY,JOY,JOY,MEH,MEH,MEH,DESPAIR,JOY,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,MEH,JOY
,Male,41,United States,Dc,JOY,JOY,MEH,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,MEH,MEH,JOY,DESPAIR,MEH,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH,JOY
No,Female,46,United States,TX,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,JOY,JOY,JOY,JOY,MEH,MEH,DESPAIR,MEH,JOY,MEH,JOY,JOY,MEH,MEH,JOY,JOY,MEH,JOY,JOY,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,MEH,DESPAIR
No,Female,50,United States,CA,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY
No,Male,37,United States,VA,JOY,JOY,JOY,MEH,MEH,DESPAIR,MEH,JOY,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,MEH,JOY,JOY,DESPAIR,JOY,MEH,JOY,DESPAIR,JOY,MEH,JOY,JOY,MEH,DESPAIR,JOY,JOY,,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,MEH,MEH,MEH,JOY,MEH
No,Male,53,United States,Florida,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,MEH
No,Female,62,United States,MN,JOY,JOY,JOY,MEH,MEH,MEH,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,JOY,DESPAIR,MEH,JOY,MEH,JOY,JOY,MEH,JOY,MEH,JOY
Yes,Female,40,United States,Pennsylvania ,JOY,MEH,JOY,MEH,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY
No,Male,29,United States,MD,JOY,JOY,MEH,MEH,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,MEH,JOY,JOY,JOY
,Male,33,United States,Virginia,JOY,JOY,MEH,MEH,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,MEH,JOY,JOY,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH
No,Female,42,Canada,Alberta ,JOY,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,DESPAIR,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,MEH,MEH,JOY,JOY,MEH,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH
No,Male,38,United States,DC,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,JOY,JOY,JOY,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,MEH,JOY,MEH,JOY
No,Female,32,United States,Iowa,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,JOY,JOY,DESPAIR,,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY
No,Male,44,United States,Ohio,JOY,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY
No,Male,37,United Kingdom,,JOY,JOY,MEH,DESPAIR,MEH,MEH,JOY,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,MEH,JOY,DESPAIR,MEH,MEH,JOY,MEH,JOY,MEH,MEH
No,Male,28,United States,Maryland,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,MEH,MEH,MEH,MEH,DESPAIR,MEH,JOY,MEH,JOY,MEH,JOY,JOY,MEH,JOY,MEH,JOY,MEH,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY
No,Female,45,Canada,ontario,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,MEH,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY
No,Male,42,United States,MI,JOY,JOY,MEH,MEH,MEH,DESPAIR,MEH,MEH,MEH,JOY,JOY,JOY,MEH,MEH,MEH,JOY,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,JOY,JOY,MEH,MEH,MEH,MEH,DESPAIR,MEH,JOY,JOY,MEH,MEH,JOY,MEH,MEH,JOY,DESPAIR,MEH,JOY,MEH,JOY,MEH,MEH
No,Male,69,United States,Wisconsin ,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,JOY,JOY,MEH,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY
No,Male,50,United States,Maryland,JOY,JOY,DESPAIR,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,MEH,MEH,MEH,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,DESPAIR,JOY,JOY,JOY
No,Female,44,United States,California,MEH,MEH,JOY,MEH,JOY,MEH,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY
Yes,Male,44,United States,Louisiana,JOY,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,JOY,JOY,MEH,MEH,JOY,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY
No,Male,42,United States,CO,JOY,JOY,MEH,MEH,DESPAIR,JOY,DESPAIR,JOY,MEH,JOY,JOY,JOY,JOY,MEH,MEH,JOY,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,MEH,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,JOY,MEH
